Instructor,RMP_Rating,RMP_Review1,RMP_Review2,RMP_Review3
J. Jok,2.0,"Goes on tangents. Everything gets retaught by TA in section. Bad TA = bad grade. He seems checked out a lot of the time. Nice guy, but hard to digest class.","In the beginning, I enjoyed the lectures as I found learning about other cultures interesting. The part that rubbed me the wrong way was how he talked and depicted women and the Military. Trigger warning for SA survivors regarding video he did not give one. Exams are hard as anything can be on it.","Jok Jok goes on tangents a lot of the time and sometimes it can be difficult to understand the point he's trying to get across. He's very stern. If you take this class be prepared to be miserable for an entire semester, because his expectations are unrealistic."
S. Run,3.8,"DO not take this class over summer extremely hard!! more than half the class dropped out, much better to take during regular semesters. A lot of material very fast paced.","Runyon is awesome. He gives u hw out of the text n u grade u'rself,he just checks for completeness, n the labs are easy to follow n he's extremely helpfull, lectures are boring but stick with it. If you have the motivation u'll like him cuzz he's easy going n helpfull... n once in a while in class wen u'r dossing off, he brings in liq nitrogen n st","Goes into detail when he has time. Posts his lectures online and packets to helps prepare for exams. There is a quiz every monday but they are fairly easy if you study and understand it, worth 20 points. There are 2 parts to the exam, multiple choice and short answer. I recommend this teacher if you want to understand chemistry. Easy to talk to."
R. Wang,2.4,One of the most boring classes I have ever taken during my time at university. Class does not relate to the course description and would never have taken that class if I knew what I was getting into. Avoid her.,"Professor Wang was very knowledgeable and interested in the subject matter, and though she tried her best to make the subject matter interesting, I feel she often fell short. She wasn't a hard grader, but her assignment instructions were vague, and she didn't provide helpful feedback or clarifications on what she expected in your final product.",HOM165 was not the most interesting class but an easy humanities course as long as you do the weekly textbook reviews and study the lecture slides for exams. There are 3 exams that are very detail orientated based on very insignificant material from the lecture. The study guides are word for word for the short response section but nothing else.
V. Raina,3.0,"Professor Raina is a great professor that really cares about her students and their learning experience. This was the second time she had taught immunology, so she made sure to ask for feedback. Her blackboard wasn't organized which was the most frustrating part of the class but if she can figure that out in the future, she is a 10/10 professor.","Took this professor for Molecular Biotechnology. This professor is lazy, will not explain her grading and her blackboard is a MESS. She will not explicitly say if there is a rubric and will not be straightforward about assignments. She also constantly complains about grading but assigns so much work. If you can avoid taking her class I suggest it!!","Dr. Raina is awesome. She wants her students succeed + gets to know her students. I have taken 3 courses from her, so I've figured out what works. She says you don't have to read the textbook but I would bc it helps with understanding the material. Also MEMORIZE THE STUDY GUIDE! The class is test heavy and her questions come from the guide."
H. Ruffin,2.2,ruffin is extremely knowledgeable BUT he will make you do things that are not even graded. had the class do 3 essays for the final and did not even grade them in time. this class is extremely unorganized and will still stress you out,He is a guy who loves to talk but rarely about information needed for this course. There is no organized system or curriculum just a list of topics that are touched on throughout the course of the year. There is no homework but the two only exams in the course are graded unfairly and strictly. I would not take course if you care about your gpa.,"gives an incrediable amount of readings that are almost useless for any class material. Gives barely any homework all year long, gives a 2 paragraph midterm than slaps you in the face with a minimum of a 4 page final essay. he has knowledge in AAS but has zero engery and will put you to sleep in lecture."
P. Emerson,3.8,"Dr. Dhillon was a phenomenal chemistry teacher. Lectures are informative and you don't even have to touch the book. Tests were fair and straightforward (directly from the PowerPoint notes)! Chemistry was not easy, but this woman made it a breeze and really wanted her students to succeed. Her HW solutions were great. Take her you won't regret it!","Dr. Dhillon is very motivational inspires students to accomplish their academic goals, her test are easy if you read the book and do homework, her lectures are a bit confusing but this was due to the nature of covering four chapters per week in a winter course so reading the book was essential to understanding the concepts, highly recommended.","Honestly, she is a really cool person. She graduated from Berkeley and received her PHD from Harvard. She knows what she is talking about, but she is still new to teaching. I highly suggest you to take her. She is a great teacher, but confusing. You should go over her power point and do homework problems and you will receive an A."
B. Hinkley,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
E. Whitaker,3.0,One of the worst courses & professors I've had at TWU. Beyond frustrating that this course is ONLY taught by her & is required for the degree plan. I take her class online & the way she has Canvas structured is very messy and confusing. Beware if you take this course online you HAVE to show your work by scanning in your test problems.,"Please do not take this professor! She is honestly the worst professor I have taken. Her lectures are extremely confusing. She jumps from problems and pulls examples out of her head. She also ""teaches"" extremely fast and does not slow down. The majority of students in our class are failing and she does not care. Save your GPA and DO NOT take her!!",Worst professor here. It is extremely unfortunate that she's the only one teaching this REQUIRED course. You'll need to purchase the book which she CONSISTENTLY says NOT to refer to because you basically need to do the math her way. Huge waste of money.. you're looking to pay 150 just to access the hw. At least hw is due at the end of the course?
K. Singh,5.0,"Jags was a solid professor. His lectures were boring but the content was interesting. The class was overall not very hard. If you participate then you'll do very good. His tests are open note, online, and at home. However, the exams are super hard for no reason. Just show up, participate, do the homework and you'll do just fine.",One of the best professors I've had at SU. He presents the material in a really clear way and encourages class discussion. He makes students feel super comfortable sharing their opinions and I genuinely feel like I learned a lot in his class and it made me a better person. Highly highly recommend.,Rating is for PHI 245 Philosophy of Sports. Great teacher and class would def recommend. The exams are online open note. Not a lot of homework at all takes a very short amount of time. You need to participate in class to get credit.
F. Keles,4.4,"He was awesome, really engaging and loves what he teaches. He responds to emails within literally 2 hours no matter what. Assignments were so easy. Quizzes throughout the semester but the questions are given out at beginning of semester. So easy, if you literally just show up youll get an A.","AMAZING PROF 10/10 highly recommend. Genuinely cares about his students and the lectures are interesting. Some classes are lectures and discussion, sometimes you watch an interesting movie, or you may learn more about anthology internationally and nationally. Nicest guy","Absolutely wonderful Professor! If I am being honest, I did not like both him and his teaching style for the first 2 weeks, but he definitely grew on me. Truly passionate about teaching and and the course material. The grade was mostly made up of 4 reports with a few minor assignments scattered about such as pop quizzes and participation grades."
G. Pezzarossi,3.6,"Overloads too much information in slides, unclear instructions on different parts of course like the map and readings (which were supposed to be uploaded every week) ended being uploaded around the 6th week -- so had to end up writing a lot of things on very short notice. Not a good experience.",I love Guido. He helped me out when I was struggling and made this class a safe place. He's so sweet and passionate about what he teaches. Everyone should take a class with him!,"I was not the biggest. I found his lectures to be so boring and the exam questions to be very specific and not for an intro class. The TA grades everything and was decently lenient. The readings were SO long, but not too needed for the exams but would come up some."
F. Jones,4.8,"Easygoing, friendly and class content is easy to understand. Has papers due throughout semester papers where research is needed. Homework is usually short response question or prompt given at the end of class.",Such an interesting class. This was a requirement for the HFS major and it was super fun to take with her. Going to take another class with her next semester!,"Prof. Jones is the best!! Most interesting class I have taken yet at Syracuse. She is super nice, understanding, and makes lectures enjoyable. Highly recommend as a fun elective."
.. Sadam Hussain,0.0,,,
M. Burhenn,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
J. Haines,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
K. Johnson,2.0,MGT 462 (was not listed)- All she does is lectures and the HW are all based on the lecture slides. The exams aren't bad but you do need to study since it was 50 questions all multiple choice. You also have to complete a project. It wasn't a bad class just annoying.,Tammy Johnson teaches about accountability yet refused to take accountability when she lost the attendance sheet and gave everyone -4 attendance points. She is incredibly boring and her homework and tests feel almost impossible to get 100% on.,
D. Okanlawon,5.0,Great Professor!,,
A. Burnside,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
M. Bhan,4.3,"She's really good at explaining things. Her lecture is interesting. Her homework was easy, you only need to read and reflect. No exams or quizzes. No essays. There are group projects.","Bhan was great! If you need an IDEA and writing intensive take this class. Super easy essays and material, no tests so you dont actually have to copy her slides if you dont want but they do help with the weekly commentary great TAs for the class too!","I actually took ANT185 and I'd recommend it because it counts as a writing intensive! Prof Bhan is extremely smart and helpful. Her lectures are engaging, and you really don't have to attend them since there are no exams, and the weekly commentaries are based only on the readings. Super interesting niche topics that I never thought I'd explore."
J. Sharma,2.4,"As much as I really didn't enjoy the course, this prof had nothing to do with that. She clearly understood the material and was very helpful to all students both during class and had flexible office hours. This was super important as most of the course was a group project that was presented during the last few weeks of the course. Overall, not bad.",Class required mandatory attendance since iclicker was a large part of the mark. Very difficult to ask her questions -- shuts you down as if you know nothing and speaks to you in a degrading tone. Exams require a lot of detail especially for a GAS course. She wants authors name and era. 8/10 would not recommend her classes.,"Boring, inconclusive. Forced you to take notes (and grade them) in the most useless format possible: had to redo my notes twice for every reading because of this system. Tutorial classes consisted of the T.A. spoon feeding the international students like it was fourth grade."
K. Taylor Riccio,3.6,"I really liked Politics of Russia. The class was interesting, and Professor Taylor was super entertaining. He always starts his class with a random Russian music video and he does two truths and a lie for each student. There are a lot of textbooks, and the final essay is tough, but the class is pretty easy as long as you show up.",The fact I don't agree with Taylor on a good few things and still really enjoy his class is a testament to what a good professor he is. Very passionate about his work and extremely funny at times in class. Class is test heavy and you're graded on few things but if you do the readings and show up to class you'll do well.,I absolutely recommend that you do not take any of his classes. Smart guy. Loves himself. Insecure. Boring. Inconsistent grader. Steer clear.
"F. Keles
F. Keles",4.4,"He was awesome, really engaging and loves what he teaches. He responds to emails within literally 2 hours no matter what. Assignments were so easy. Quizzes throughout the semester but the questions are given out at beginning of semester. So easy, if you literally just show up youll get an A.","AMAZING PROF 10/10 highly recommend. Genuinely cares about his students and the lectures are interesting. Some classes are lectures and discussion, sometimes you watch an interesting movie, or you may learn more about anthology internationally and nationally. Nicest guy","Absolutely wonderful Professor! If I am being honest, I did not like both him and his teaching style for the first 2 weeks, but he definitely grew on me. Truly passionate about teaching and and the course material. The grade was mostly made up of 4 reports with a few minor assignments scattered about such as pop quizzes and participation grades."
M. Schwarz,2.6,"Textbook is required to do the HW. Tests are curved, and there is a study guide given before each exam. Lab was my least fav part of class (only submit 1 report, so 1 person ends up doing all the work). Lecture is long/confusing. No calculators on test, and helpful to have prior phy knowledge coming in. Not great at science still got an A.",She is the worst professor I have taken in 3 years being in this school. She clearly doesn't know what she is teaching to students and exams are extremely hard for being 101 class.,"She is an extremely smart woman, but has no idea how to teach. She rushes through problems and her lectures are disorganized and hard to follow. The TAs are the only good part about the class. Maybe good for higher level class, but her lower level class is way too hard. The exams are impossible. She curves because all her students fail."
K. Oda,3.7,"Not a good professor. The class was comprised mainly of student presentations and he lectured a total of 4-5 times the semester. On top of that, the lectures are verbatim from the textbook, so it is very repetitive and boring. I would not suggest taking this professor.","Adjusts workload as needed and gives extensions if you ask ahead of time. Explains and demonstrates concepts clearly. Grades assignments based on accuracy, but grades slowly so expect them to return late. Funny and engaging prof.","Attending class isn't mandatory, but professor gave extra credit for the students who actually showed up to class and recitation. Content is not too difficult, as long as you go to your recitation and lectures, exams are pretty easy and similar to recitation activities. Would recommend to take for humanities credit. 2 exams, one project, and final."
A. Hromadzic Vlasak,4.4,She is a great teacher and cares a lot about her students. She will spend the time to get to know your name and information about you if you come to optional events or participate regularly in class. She makes the lectures interesting and understandable. There are weekly readings you need to at least skim. I would highly recommend her class.,Her lecture is nice and easy to understand. Also helpful outside the class. Slides on the blackboard lack many information than the lecture.TA are not good cuz the weird grading criteria,"I loved her so much, she was so cute. But I HATED my TA, he gave me a good grade (a 97) on my first essay and gave me a sense of false confidence. He proceeded to give me low B's on the next two for no reason! Class is fairly easy but make sure you go to class because she doesn't post slideshows."
T. Singleton,1.9,"By far the worst professor I've had at Syracuse. If you have the option, take this class with someone else. Lectures were useless, office hours didn't help, and the only way to pass was to read the book and teach yourself everything. The exams were fair but way too hard considering how unprepared we all were.","The worst econ professor I've ever had at Syracuse. You will not learn anything and you will have to teach yourself for exams. There's no point in going to lectures. TA's can't even help and office hours are useless. If you can take another professor for this class, do yourself a favor and do it. If not, get a tutor or find a genius. Good luck!",He is so quite when teaching and he just thinks that we know everything
R. Habib,1.0,Had to take her for my minor and shes so boring. Literally not even approachable and she one of the worst teacher I ever had. She is not helpful and very rude. don't take her,,
R. Rubinstein,3.0,"I will never forget leaving after the third exam. Standing face to face I told Prof. Rubinstein, ""thank you professor"" and he completely ignored me while looking into my eyes. Not only were the lectures almost always about his life and not the content we learned, but the Exams were almost impossible to pass. Many students felt the same way.",Random tiny facts from readings and jokes made in lecture that you don't think you have to take notes on will be on the test... The class average for our second exam was a 70% and the professor refused to curve it. There are 2-3 readings a week with 15-36 pages each AND an entire book you have to read and write 3 papers on in the discussion section,"Professor Rubinstein is very knowledgeable and experienced. While he may occasionally make uncomfortable remarks, he cares about his students and tries to do right by them. Those who ask for help will receive it without hesitation. If you put in the work and take it seriously, you will do well."
D. Larsen,3.1,"He has pop quizzes and pop homework assignments. If you miss class or are late to take the pop quiz, you can't make these up. He doesn't set reminders for tests or projects that are due in class. Still, he knows what he's talking about and will try to make the class as interesting as possible. Cool class overall.",Overall good professor and not a difficult class.,Larsen reaches this class as if it were an upper level instead of a 1000 level class. I feel like he purposely makes it harder which is ridiculous because this class is a gen ed. The class is extremely boring and all he does is read from PowerPointIf you can take anyone else Id highly suggest you avoid Larsen at all costs!
K. Mallon Andrews,2.7,All grades and feedback come from the TA. Grades were not updated frequently. Had her for anthropology 111.,Went to every class for ANT 111 and it didn't help,"Absolutely lovely teacher and person, a highly intelligent woman who is clear and fair with grades. Highly recommend."
C. DeCorse,3.9,"This class was pretty easy but so so so boring, do not take it unless you need it for your major. He posts slideshows of lectures after class but they have almost zero information on them so you have to attend lecture to learn anything. The tests were easy if you studied based off the study guides, lecture notes and textbook.",he seems great but i was genuinely so confused and bored the whole time. i thought i was going to enjoy this class but i really did not and i had no idea what was going on no matter how much i studied. like i just cannot emphasize how confused i was the whole time. also the blackboard was a mess which gave me a headache.,"Eh, I didn't really enjoy this class but if you need it to fulfill a credit it's easy enough. DeCorse was a nice guy, tbh I rarely attended lectures but when I did I was pretty bored. He posts the lectures but you won't get much info from them so you should prob go to lecture as much as you can. Three exams(study guide helps)and no papers."
J. Medjo Me Biomo,1.6,"Get ready to do lots of work for little credit. For my 1 credit lab course, every week we were expected to do a reading and a prelab before the lab session. Then, in the lab session you have to complete the ENTIRE thing before the time is over otherwise you will lose points. Have a question? He will be extremely passive aggressive and not help you.","CSE 397: He did not try new labs before assigning them. Wasted weeks on simple problems. But here's the nasty twist... I learned a ton. You will be on your own with this man. He will kick you into a deep hole, but should you get angry enough to climb out of it, you will find yourself suddenly wrapped in extreme proficiency. Opinion extremely mixed.","Don't. Just don't. Exams are 96% of your grade with grading so harsh that one small mistake wipes out nearly all points. No partial credit, no clear criteria. Half the class withdrew, and most of the rest are failing This isn't just a tough class—it's a disaster. Avoid this professor if you value your GPA or your sanity."
J. Waclawski,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
Y. Tang,3.0,"CSE 384: Above all, I really respect Professor Tang. His class focusses on learning through practice, which is something a lot of other professors could take a lesson from. Occasionally it can be hard to understand what he's saying in class, but he's very welcoming to questions and usually gets it right on the 2nd go. Tests are straightforward.","CSE 384 Grade: 50% HW, 25% midterm, 25% final Tang is a really frustrating teacher. His lectures and homework assignments are easy enough to understand and do, nothing too bad. The issue are the exams. The difficulty spike is ridiculous, requiring extreme detail to do well, especially since each exam is worth 25% of your final grade.","I learned a lot from this course, I would take his course again!"
Y. Cao,3.0,"Shi not that hard ngl. He says that u should read the textbook, but I didn't read a single page and I was chillin. The midterm and final was VERY fair. The study guide he gave for both HEAVILY reflects the test. HW was easy, if you use your resources. A 55% is a C and a 70% is a B-, but the 2 tests made up for 70% of your grade. HW costed hella tho",super sweet prof. if you don't understand lectures then ochem tutor vids got you. go to arc tutoring and office hours for help. do practice problems often. study the microtutorial problems. study for midterm and final. if you actually put good effort into this class you will get an A.,"One of the worst professors i've had in my two years in ucr. Class was very hard because it was mostly based on difficult exams. The average was around 50%, and he didn't curve. There were few chances to raise your grade with assignments. STAY AWAY FROM THIS PROFESSOR. With all due respect if you're happy with your mental health listen to me"
"J. Medjo Me Biomo
J. Medjo Me Biomo",1.6,"Get ready to do lots of work for little credit. For my 1 credit lab course, every week we were expected to do a reading and a prelab before the lab session. Then, in the lab session you have to complete the ENTIRE thing before the time is over otherwise you will lose points. Have a question? He will be extremely passive aggressive and not help you.","CSE 397: He did not try new labs before assigning them. Wasted weeks on simple problems. But here's the nasty twist... I learned a ton. You will be on your own with this man. He will kick you into a deep hole, but should you get angry enough to climb out of it, you will find yourself suddenly wrapped in extreme proficiency. Opinion extremely mixed.","Don't. Just don't. Exams are 96% of your grade with grading so harsh that one small mistake wipes out nearly all points. No partial credit, no clear criteria. Half the class withdrew, and most of the rest are failing This isn't just a tough class—it's a disaster. Avoid this professor if you value your GPA or your sanity."
E. Ercanli,3.2,"Zybook reading, exams, pop quizzes, blackboard assignments. Work to understand core theoretical concepts and you will be able to handle problems he throws. TA probably useless due to highly variable nature of computer architectures; too subjective. Have casual class conversations with professor. He's funny, caring, and passionate about this field.",great for grade,Terrible class. Wouldn't have taken the course if it was not a core course
"D. Marcy
D. Marcy",3.7,"Mr. Marcy is a professor who clearly grew up with the technology that he's teaching. We learned the history, physics, and logic of semi-conductor devices, using FPGA boards and VHDL hardware design language for lab. For the last project, we implemented a primitive CPU based on Intel's original CPU (4004). Friday lab sucks, but he made it fun!","He's very knowledgeable of what he teaches and is more than willing to help you understand or troubleshoot a problem you're having. Having a strong coding background is really nice to have for this class. The class is very hands-on, it's crucial you try to understand what you're trying to accomplish. Overall, one of the best professors at SU.","Amazing professor. Really loves his field and is such a modernized professor. Very accessible outside of class, patient, and knowledgeable. If you are an engineer, definitely take his classes. It can be challenging but with the right group and dedicated hours after class, it is not impossible to pass. A blessing to Syracuse University!"
B. Kim,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
J. Graham,3.7,"Dr. Graham made this class pretty easy to understand. She would handwrite the notes with us, making it easy to follow along. The homework assignments can be long and starting them a day or two before they are due is a good idea. The exams are difficult and cover a lot of content but she prepares you well for them. I recommend Dr. Graham.","Dr. Graham was a good teacher. She was able to communicate the topics effectively but the layout of the class was a bit weird. We would have to read the textbook, do hw that was worth 25% of our grade, then we would come to class and she would teach what the hw was on, then we would have to submit a group project.",Easy professor. Easiest A for a freshman class. Just do the work because there are only a few and they matter. Easy exams.
L. Wang,2.4,One of the most boring classes I have ever taken during my time at university. Class does not relate to the course description and would never have taken that class if I knew what I was getting into. Avoid her.,"Professor Wang was very knowledgeable and interested in the subject matter, and though she tried her best to make the subject matter interesting, I feel she often fell short. She wasn't a hard grader, but her assignment instructions were vague, and she didn't provide helpful feedback or clarifications on what she expected in your final product.",HOM165 was not the most interesting class but an easy humanities course as long as you do the weekly textbook reviews and study the lecture slides for exams. There are 3 exams that are very detail orientated based on very insignificant material from the lecture. The study guides are word for word for the short response section but nothing else.
"J. Weissman
J. Weissman",3.4,"I have never had a professor that thinks it is acceptable to shove their political beliefs down your throat like her. I am well aware I took a class about law, but as a professor in a private college, beyond me that she has not yet gotten in trouble for only talking about one sides views and making the other side feel uncomfortable in her class.",Great professor!! Super caring and passionate about criminal justice.,"Professor Weissman is passionate about and very knowledgeable about the topics discussed in class. Although her lectures may not always be the most engaging, they are very interesting, and she often brings in guest speakers who relate to the topics. If you take notes and show up, it's an easy A. I would definitely take class with her again."
"M. Abdallah
M. Abdallah",5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
"Staff
Staff",4.0,"Shoutout to Staff Staff, my CSC0000 teacher, for being remarkable. His engaging teaching style blends humor and respect, making Computer Science approachable and enjoyable. He's always available to support students, and his dedication is commendable. Highly recommend him as an educator who genuinely cares about his students' success.","I sometimes wonder why SCI has such high tuition, but then I check the course listing and am reminded of the hard work that Staff has to put in daily and realize its all worth it . I feel bad for Staff, feels unfair that almost every course is taught by him. Hopefully Pitt changes that soon","t's amazing that staff somehow manages to teach a class at the same time on the same day multiple days a week for multiple classes. When I was scheduling I literally couldn' t find a better professor to take. Definetley didn't like how unpredictable professor's exams, criteria, and assignments are. Good Luck, you definetley will have to take staff."
"G. Wagner
G. Wagner",5.0,Professor Wagner is full of energy and love of law. I was so scared to take Communications Law but she made it as painless as possible and actually enjoyable. I feel like I learned a lot and it didn't add to my stress in any way. Won't become a lawyer any time soon but she did make it fun!,,
"H. Saadawi
H. Saadawi",3.0,"Very passive aggressive and mean spirited. Makes inappropriate comments during her stories. Doesn't teach, only tells stories. Makes us teach the class. Confusing instructions, gets an attitude when asked for clarity.","Very passive aggressive. Makes inappropriate comments towards students. Confusing directions, has an attitude when you ask for clarity. Tells stories instead of teaching. All of our classmates agree that she's not","Professor Wagner is responsive and interacts with her students well. Textbook material is easy to understand and relatable. As long as you complete all assignments, you will do well in the class."
N. Ghani,4.2,the goat fr,"Super nice! I had zero coding experience and was able to excel in his class. It can be hard as first, but you catch on quick!! He's funny, he truly cares about his students, and he gives great feedback during labs (which are very relaxed). Attendance is not mandatory in lectures (but you should go!)",rly nice professor he seems like he really cares about the students. labs are worth a lot of ur grade so def get them done. midterm/final is exactly like the lab too. there is a textbook that works with the homework but the textbook is free.
